"0. 귀하의 연령대가 어떻게 되나요?","1. 귀하는 어떤 여행을 선호 하는 편인가요?","2. 국내여행 혹은 해외여행을 더 선호하시는 이유는 무엇인가요?","3. 귀하는 여행의 목적은 무엇인가요?","4. 여행가기전 정보조사를 어느 매체를 통해 하십니까?","5. 귀하는 국내여행을 간다면 어디로 가시겠습니까?","6. 위에 고르신 지역 중 구체적으로 어디 여행을 하고싶은지 적어주세요","7. 귀하가 충청권(충청북도, 충청남도, 대전, 세종)을 고르지 않으신 이유는?","8.  충청권(충청북도, 충청남도, 대전, 세종)의 여행지로서 이미지는 어떤가요?","9. 충청권(충청북도, 충청남도, 대전, 세종) 여행을 해보신 적이 있으면 아쉬웠던점 적어주세요"
"20대","해외여행","다른나라의 문화를 경험해볼 수 있어서 잼써영 그리구 저는 휴양지를 선호하는데 우리나라에선 휴양을 위한 여행지는 별로 없다고 생각합니다 휴양지는 뭐니뭐니해도 발리 하와이~!","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","제주도","성산일출봉이랑 포방터돈까스 먹구시퍼여ㅠㅠ 그리고 유채꽃밭에서 인생샷찍고싶어요 또 귤모자쓰고 귤포토존에서 사진찍구 면세점에서 2차로 여행을 즐기겠어요.","충청권에 대한 정보부족","충청권으로 여행가는 사람을 많이 못봐서 여행지같진 않다 그냥 사람사는동네 살기좋은 도시","없음"
"20대","국내여행","국내에도 숨은 명소가 많다. 한국스러운 감성과 아름다움을 느낄 수 있다.","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	카페","경상도 지역(ex. 부산, 대구, 포항 등)","대구","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	충청권에 대한 정보부족","그냥 그렇다.",""
"20대","해외여행","새로움","관광지	휴양(호캉스 포함)","블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서","별로 볼게 없는것 같다",""
"20대","해외여행","새로운 문화 경험","관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그	지인 추천	여행사 사이트","경상도 지역(ex. 부산, 대구, 포항 등)","부산","즐길거리가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","유명하지 않고 놀거리가 없다",""
"20대","국내여행","부담없이 다녀올수 있어서","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	책	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산 또는 해안도로","충청권에 대한 정보부족","여행지라는 이미지가 없는거 같아요",""
"20대","국내여행","가깝고 즉흥적 여행이 가능하다.","맛집탐방	즐길거리(카페 및 놀거리 등)	자연(강,바다,산,호수)","블로그","제주도","제주 서부 (한림)","충청권에 대한 정보부족","충북 내륙에 산 관련 여행을 해 볼 수 있을 것 같다",""
"20대","해외여행","새롭누","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페	여행사 사이트","제주도","애월","충청권에 대한 정보부족","조용","할게 없누"
"20대","국내여행","한국에 의외로 볼 게 많아요 그러고 해외 갈 돈이 없습니다!","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉 바다","즐길거리가 부족해서","여행지로 생각하기엔 다른 지역이 더 좋고 관광지로 유명합니다",""
"20대","국내여행","해외경험이 없어서 두려움","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	카페","전라도 지역(ex. 전주, 여수, 순천 등)","여수","충청권에 현재 거주중","평화로워요 놀러오세요","성심당이 전부가 아님"
"20대","여행을 좋아하지 않음","없음","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	여행사 사이트","경기도 지역(ex. 가평, 파주, 수원 등)","가평","즐길거리가 부족해서	관광지가 부족해서","노잼도시..",""
"20대","해외여행","흔치 않기 때문","맛집탐방	휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","가깝습니다","충청권에 대한 정보부족","여행지로서의 이미지는 아닙니다.",""
"20대","국내여행","급여행 떠나기 좋아요","휴양(호캉스 포함)	자연(강,바다,산,호수)","네이버 추천여행지","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","떠오르는 랜드마크가 없어요",""
"20대","해외여행","국내여행은 언제든 갈수있기때문에 젊을때 다양한 경험을 할 수 있는 해외여행을 선호","맛집탐방	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서","살기 좋은 지역(살기만좋은지역)","자연을 좋아하는데 탁트인 풍경을 볼수 있는곳이 제한적"
"20대","국내여행","오고 가는 시간과 과정이 힘들어서","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그","전라도 지역(ex. 전주, 여수, 순천 등)","여수","살고있는 지역이라 식상해서","애매한 위치","그럭저럭 평범하다"
"20대","해외여행","비행기타고 나가는게 좋아서","관광지	휴양(호캉스 포함)	[기타]","블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","평택","충청권에 대한 정보부족","여행지로 가기 애매한것같다.",""
"20대","국내여행","국내가 더 편함","관광지","블로그","제주도","제주도","즐길거리가 부족해서","별로",""
"20대","해외여행","국내와는 색다른 매력","맛집탐방	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","강원도 양양","관광지가 부족해서	휴양하기에 적합하지 않아서	딱히 갈데가 읎어요"," 마운틴? 대천? 고복저수지 ..","여행가기전에 찾아볼 정보가 부족해욤"
"20대","국내여행","저렴이 가성비 !","맛집탐방	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페","경상도 지역(ex. 부산, 대구, 포항 등)","부산","맛집 탐방할 곳이 없는거 같아서	관광지가 부족해서	휴양하기에 적합하지 않아서","딱히 유명하진 않다?",""
"20대","해외여행","색다른 분위기/현지 음식","즐길거리(카페 및 놀거리 등)	쇼핑	관광지","SNS(페이스북, 인스타그램)	여행사 사이트	[기타]","경상도 지역(ex. 부산, 대구, 포항 등)","부산","즐길거리가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","노잼 도시/할 거 없음",""
"20대","국내여행","해외보다 가기 편리해요˃̵͈̑ᴗ˂̵͈̑","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","충청도 지역(ex. 청주, 대전, 세종 등)","대전","충청권을 골랐다","가볍게 놀러가기 좋아요!",""
"20대","해외여행","뭔가 다른 정서를 체엄할수 있어서","맛집탐방	휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그	책	지인 추천","제주도","올레길","충청권에 대한 정보부족","추천받아본적이없습니다",""
"20대","해외여행","비행기 떨레요","휴양(호캉스 포함)","블로그	여행사 사이트","제주도","서귀포시","휴양하기에 적합하지 않아서","노잼도시",""
"20대","해외여행","국내여행을 하는 것보다 해외여행을 하는게 직접적, 간접적으로 얻을 것이 더 많고 많은 문화를 체험하면서 생각의 폭을 넓힐 수 있어서 해외여행을 더 선호합니다.","관광지","카페	책	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","경주","즐길거리가 부족해서","다른 지역권에 비해 즐길거리가 부족한 이미지",""
"20대","해외여행","우리나라에서는 경험할 수 없는 다양한 문화나 볼거리가 있음","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉 ","즐길거리가 부족해서	충청권에 대한 정보부족","대전은 노잼도시로 유명하고, 충청권은 대체로 여행지로 알려지거나 유명한 곳은 아닌것 같다",""
"20대","국내여행","해외여행은 비용이 많이 들어서","맛집탐방	관광지","SNS(페이스북, 인스타그램)	블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서	충청권에 대한 정보부족","아는 것이 별로 없음",""
"20대","해외여행","국내는 다 가본거 같고 국내여행비나 해외여행비나 비슷해서 그럴바엔 해외를 간다 ","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","요즘 핫한 양양 ","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서","재미가 없을 것 같다","대전을 놀러 갔는데 주변 놀거리가 없었다"
"20대","국내여행","해외여행에 비해 비용과 시간이 더 절약되고 익숙한 환경이기 때문에","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그","제주도","제주시","충청권에 대한 정보부족","재미없다는 소문이,,",""
"20대","해외여행","여러곳을 경험해보고 싶어서욤","즐길거리(카페 및 놀거리 등)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산 광안리에 가고싶네욤","즐길거리가 부족해서","잘 모르겠어요..","없음"
"20대","해외여행","해외에 나가면 다양한사람들과 교류를 할수있고 대한민국에 없는 세계 명소들을 가볼수있어서 해외여행을 더 선호하는 편입니다.","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	여행사 사이트","제주도","서귀포를 가보고싶습니다.","다 가본곳입니다.","딱히 유명한곳은 없지만 잘 찾아보면 힐링장소가 있을꺼같습니다.","우와 여기 진짜 다음에도 또 한번 오고싶다? 이런곳이 없었습니다."
"20대","국내여행","국내를 많이 돌아보지 못했기 때문에","휴양(호캉스 포함)	자연(강,바다,산,호수)","딱히 조사는 많이 안하는편","제주도","제주도를 한번도 안가봐서 그냥 두루두루 돌아다니고싶음","제가 대전에살아서요","특출난 무언가가 없다?",""
"20대","해외여행","국내보다 새롭고, 비행기타는게 좋고, 좀더 호화롭게 여행해서","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	카페	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉 맛집이많대서","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","노잼도시",""
"20대","국내여행","가깝다","즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","바다","충청권에 대한 정보부족","뭐가있는지 모르겠다",""
"20대","해외여행","비행기를 타고 다른나라에 간다는것 자체가 좋음","즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","블로그","경기도 지역(ex. 가평, 파주, 수원 등)","가평 빠지","즐길거리가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","여행지라는 느낌이 안듦","없음"
"20대","해외여행","새로운 언어, 문화, 경험","휴양(호캉스 포함)","SNS(페이스북, 인스타그램)","제주도","세부","휴양하기에 적합하지 않아서","그냥 그럼",""
"20대","해외여행","외국 정서를 몸소 느끼는게 좋아서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","양양 서피비치 ~~~","충청권에 대한 정보부족","노잼도시 ㅎㅎ",""
"20대","국내여행","짧은시간에 다녀올 수 있어서","맛집탐방	즐길거리(카페 및 놀거리 등)","SNS(페이스북, 인스타그램)	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","담양","즐길거리가 부족해서	관광지가 부족해서","노잼","다른 유명관광지에 비해 볼 것이 많지 않다"
"20대","해외여행","다른 문화(음식,관광지등)","맛집탐방	쇼핑	관광지	휴양(호캉스 포함)","블로그	카페","제주도","본래 서울에는 없는 다른 분위기가 있는곳 ex)바다,분위기등","즐길거리가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","알아보지 않아 잘모르겠다.(다른 곳에 비해 홍보,마케팅이 부족한듯)",""
"20대","국내여행","멀리여행갔다오면 앓아누워서요","맛집탐방","같이가는 일행이 가자는데로 갑니다","경상도 지역(ex. 부산, 대구, 포항 등)","부산이요 부산음식이 제입맛에 맞는게 많습니다","충청도에 있는건 다른동네에 있는느낌? ","친구들이랑 여행갈곳에 대해 얘기할때 웬만하면 얘기가안나오는곳",""
"20대","해외여행","우리나라에선 볼 수 없는 색다른 경험을 하는것이 좋기 때문.","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	카페	지인 추천	여행사 사이트","경상도 지역(ex. 부산, 대구, 포항 등)","부산과 대구로 즐길거리 탐방.","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","조용하고 놀것이 없는 여행지","너무 발전되지 않은 도심속에 있는 기분이다."
"20대","해외여행","제가 느끼지 못한 분위기를 더 느낄 수 있어서에요!","즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페","경상도 지역(ex. 부산, 대구, 포항 등)","부산 경포대에서 구수한 사투리를 느끼고싶어요","충청권에 대한 정보부족","경기도 꽤 가까운 거리기에 여행지의 이미지가 크게 없는 것 같다! (당일치기로 적합)","가까운거리가 장점이 되고 단점이기도 한 것 같다"
"20대","해외여행","인생의 시간을 늦추기 위해 새로운 환경이 필요하기 때문.","관광지	자연(강,바다,산,호수)","블로그	책	지인 추천","제주도","서귀포시","충청권 음식은 전부 맛이 없었다.","“여행지”가 아니다.","공통적으로 음식이 너무 맛이 없었다. (식당과 집밥 모두 포함)"
"20대","국내여행","말 잘 통해서","맛집탐방	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페","전라도 지역(ex. 전주, 여수, 순천 등)","전라도 밥상 먹고싶어요..","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	휴양하기에 적합하지 않아서","슬로우 시티.. 모든게 느릿느릿하다","잘 알려진 명소들이 부족하다"
"20대","국내여행","계획을 짜고 이행하기에 해외보다 저렴하고 수월해서","맛집탐방	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","포항","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","타 지역에 비해 특색이 뚜렸하지 않고 재미요소가 반감되는 느낌이 있어요","대전에 다녀왔는데, 성심당 말고 즐길게 딱히,,,없었어요. 특색있는 포인트가 더해졌으면 하는 아쉬움이 남았습니다."
"20대","해외여행","한번도안가봐서ㅠ","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","제주도","다 !","충청권에 대한 정보부족","할게 뭐가있늠지 몰라유",""
"20대","국내여행","짧게 갔다오기 편해서","맛집탐방	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수","충청권에 대한 정보부족","여행지로 잘 안느껴집니다","교통권이 좀 불편하여 자차를 이용해야합니다"
"20대","국내여행","아직 나이가 어려서 돈이 많지 않아 국내라도 여행하고 싶어서","휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산","관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","즐길거리가 딱히 없다","대전을 다녀왔는데 빵집말고는 갈곳이 없느넉 같다"
"20대","해외여행","이국적인면모를 많이 경험할 수 있고, 주변 눈치 안보고 맘껏 놀수있음. 일탈의 느낌이 강함.","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페","강원도 지역(ex. 속초, 양양, 강릉 등)","양양","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","맛집이 좀 있다.",""
"20대","국내여행","다양한 볼거리 새로운 경험과 문화","즐길거리(카페 및 놀거리 등)	관광지","SNS(페이스북, 인스타그램)","경상도 지역(ex. 부산, 대구, 포항 등)","부산","즐길거리가 부족해서","잘모름","잘"
"20대","해외여행","지금 생활하는 곳과 많이 달라서","즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","제주도","서귀포","충청권에 대한 정보부족","여행지로서는 유명하지않다","관광지 부족"
"20대","해외여행","새로운것을 경험할수있다 ","관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수","휴양하기에 적합하지 않아서	충청권에 대한 정보부족","시골스럽다",""
"20대","해외여행","해외는 우리가 평소에 보지못한 다양한 것을 경험하고 볼 수 있기때문","즐길거리(카페 및 놀거리 등)	쇼핑	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	책","경상도 지역(ex. 부산, 대구, 포항 등)","부산 ~~젊음의 도시 유후","관광지가 부족해서	휴양하기에 적합하지 않아서","여행으로 가기엔 요즘은 위성도시느낌이라 휴양은 부적절하다고 느낌",""
"20대","해외여행","새로워서","맛집탐방	쇼핑	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	책","강원도 지역(ex. 속초, 양양, 강릉 등)","강원도 양양","휴양하기에 적합하지 않아서	충청권에 대한 정보부족","여행지라는 생각이 아예 안든다",""
"20대","해외여행","한국과는 다른 문화를 경험할수있어서요!","즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	카페","경상도 지역(ex. 부산, 대구, 포항 등)","경주! 유적지위주로 가보고싶어요!","즐길거리가 부족해서	휴양하기에 적합하지 않아서","사람이 많지 않은 한적한곳! 대표적인 관광지가없는 느낌!","교통편이 불편한것같고 , 관광지가 부족한것같아요!"
"20대","해외여행","이색적인 문화를 느끼며 일상과 분리된 특별한 여행만의 분위기를 만끽할 수 있기 때문","관광지	휴양(호캉스 포함)	문화체험","블로그	책","제주도","우도 여행, 제주에서도 이색적인 관광지로 소문난 곳이 가고 싶습니다 : )","충청권에 대한 정보부족","관광지가 없는 생활하기 좋은 도시","특별히 관광지라고 손꼽을 곳이 없었으며 일상적인 느낌이 다분하였음"
"20대","국내여행","국내여행이 비용적, 심리적 부담이 덜 들고 상대적으로 빠르게 계획을 잡고 다녀올 수 있으며 만족감이 적을 수 있지만 다른 지역에서 오래된 친구를 만나는 등 추억을 회상할 수 있다.","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)	친구, 가족 만나기","SNS(페이스북, 인스타그램)	블로그	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산에 가 탁트인 바다와 시끌벅적한 번화가, 유명한 맛집 모두 즐기고 싶다.","고향과 학교, 현재 거주지 모두 충청권이라 굳이 여행이 필요없다.","솔직히 볼거리가 많이 부족하다. 대전의 경우 노잼의 도시라는 수식어도 있고 유적지, 관광지, 자연환경이 다른 지역에 비해 부족한 감이 있는데 번화가 또한 뒤쳐진다.","다른 도시에 비해 느긋하다는 이미지때문에 여행을 떠나기에 재미없다는 느낌이 강하다. 물론 좋은 곳도 많지만 유적지 관광지도 부족하고 시골 느낌 강하다. 활동적인 컨텐츠가 필요하다."
"20대","해외여행","색다른 경험을 하기위해","맛집탐방	즐길거리(카페 및 놀거리 등)","SNS(페이스북, 인스타그램)	블로그","경상도 지역(ex. 부산, 대구, 포항 등)","부산시장과 해운대","즐길거리가 부족해서	휴양하기에 적합하지 않아서","여행할만한 곳은 아닌것같아요",""
"10대","국내여행","국내에 아직 못가본 곳이 많아서","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)","전라도 지역(ex. 전주, 여수, 순천 등)","여수 ","충청권에 대한 정보부족","생소하다",""
"20대","해외여행","문화","관광지","블로그	카페","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","관광지가 부족해서","생소하다","안 가봤어요"
"20대","국내여행","외국 차별 심함","즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","제주도","제주도","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","별로",""
"20대","국내여행","해외에 비해 비교적 가까운 거리","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서	관광지가 부족해서","재미없다",""
"20대","여행을 좋아하지 않음","없음","즐길거리(카페 및 놀거리 등)","여행사 사이트","제주도","해수욕장","충청권에 대한 정보부족","황무지",""
"20대","국내여행","저렴해서","맛집탐방","SNS(페이스북, 인스타그램)	블로그	카페	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수","즐길거리가 부족해서	관광지가 부족해서","노잼도시","할게 없다"
"20대","해외여행","좀 더 여행가는 기분이 들어서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑","블로그	카페	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","양양","즐길거리가 부족해서	충청권에 대한 정보부족","노잼 ..?",""
"20대","국내여행","돈없음","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑","지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","잘모름",""
"40대","국내여행","편해서-계획없이 갈수있어서","맛집탐방	관광지","블로그	카페","전라도 지역(ex. 전주, 여수, 순천 등)","여수","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서","특색이없는 느낌. 개성이 없다",""
