,해외여행이 국내와는 다르게 새로운 문화를 접할 수 있어서 
115,"외국인 만나는것도 좋고 영어를 써보는것,다른 문화를 보고 느끼는것이 좋으며 한국에서의 피곤한 상황들을 떼어두고 더 자유로운 기분이 든다."
116,새로움
117,해외는 언어걱정되니까
118,짧게 즐기기 좋은 거 같습니다
119,외국못지않게 좋은곳과 안가본곳이 많아서
120,낯선 곳에서의 즐거음
121,자주 가지는 못하지만 우리나라랑 다른 분위기를 느낄수있어서
122,국내랑 해외 둘 다 좋지만 국내에서 말이 더 잘 통해서
123,여행지의 폭이 넓어서
124,여행준비의 편리성
125,더 다양하고 새롭게 재미있음
126,새로운 환경을 도전하는게 좋아요!
127,국내 여행지보다 해외 여행지가 경험해보지 못한 것들이 많아서
128,해외에서만 느껴지는 특색이 있어서 .다양한문화를 접하고싶고 외국인들과 소통하고싶음 
129,새롭다
130,"비행기타는거 좋아하고 다른나라의 그 분위기를 즐기는것을 좋아하며 기억,여운이 오래남는다"
131,볼거리가많고 기분이좋음
132,색다른 문화 및 새로운 소비 패턴이 좋습니다.
133,비행기 떨어질까봐 무서움
134,"새로운 문화,음식,언어를 경험하고 싶음"
135,다른나라의 풍경이나 음식을 즐기고 쇼핑이랑 관광지를 가고싶어서
136,국내는 한평생 살며 시간이 난다면 여러번 갈 수 있지만 해외여행은 한평생 살며 여러번 갈 수 있는 곳이 아니기에 더 의미 있는 곳이라서
137,해외여행지가 주는 이국적인 매력이 더 커서
138,가까워서. 언어가 통해서. 
139,없음
140,다양한 문화경험이 좋다.
141,해외는 잘 모르기 때문에 모든것이 생소하고 이색적인 부분들이 많아서
142,저렴함
143,새로운 문화를 경험하는게 좋아서
144,일상과는 다른 경험을 즐기기 위해서
145,코로나때문에
146,새로운 환경을 접할수 있어서
147,새로운 곳에 가는것을 좋아합니다
148,해외 갈 돈이나 국내 가는 돈이나 비슷함
149,해외여행이 더 저렴/ 다양한 문화체험
150,없음
151,우리나라에는 즐길 수 없는게 많아서 
152,국내여행이 시간과 돈이 절약됨
153,바로 떠날 수 있어서 
154,돈이 절약됨
155,다양한 나라의 문화를 즐길 수 있음
156,영어를 못해서 국내여행 선호 
157,물가 싼 나라 가서 flex하기 좋음 
158,이웃나라에 돈 쓰기 싫어서 
159,면세점에서 면세 받으려고 
160,제주도 러버라서 
161,대한민국에 안주하지 않고 견문을 넓힐 수 있다
162,시간적 장소적 접근성이 좋다
163,다른나라 문화 경험 
164,아무때나 훌쩍 떠날수 있음. 여행계획을 짜기 편함
